,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-04-12,280.8935598048498,283.0831873442445,278.10226253028486,279.611328125,27403400,159.7858591607215,160.6183832614872,158.35866634623534,158.6758270263672,50133100
2023-04-13,279.7099323499356,285.93359684104695,279.2956956247164,285.8744201660156,24222700,160.1922314364538,164.32513554824666,159.98409282917345,164.08726501464844,68445600
2023-04-14,283.0732862312766,284.5330478116191,279.80857582595036,282.2250671386719,20987900,163.12589186720774,164.8405136022097,162.362752263478,163.74038696289062,49386500
2023-04-17,285.9632382677251,287.61040296199513,282.24482936275564,284.84869384765625,23836200,163.62142359967223,163.91875794761413,162.57085534359018,163.7601776123047,41516200
2023-04-18,287.5807289593989,287.7681317759819,283.0831215614773,284.42449951171875,20161800,164.6224624365103,165.9208069034402,164.17645331594588,164.98916625976562,49923000
2023-04-19,282.077114711904,285.0952458067938,280.646971471538,284.50347900390625,17150300,164.32514699227858,166.6641544715295,164.0674501155034,166.1388702392578,47720200
2023-04-20,281.347245946029,285.0755272649931,281.1795586202905,282.1954650878906,23244400,164.61254066948467,166.37670544707035,164.0872565010493,165.1675567626953,52456400
2023-04-21,281.11054215817984,282.35328254409745,279.18720974896235,281.85028076171875,21676400,163.58179491237593,164.9693351136413,163.0267788318698,163.55206298828125,58337300
2023-04-24,278.23048499093494,281.0513705688823,274.90659762149755,277.91485595703125,26611000,163.5322324264354,164.12690113902568,162.43210589428088,163.8592987060547,41949600
2023-04-25,275.685801623626,277.74720298912615,271.60242994743777,271.6517639160156,45772200,163.72055320726747,164.83058539726287,162.2735339969769,162.3131866455078,48714100
2023-04-26,292.64055511384544,295.47128288503853,288.7248715505481,291.3287353515625,64599200,161.6094983031377,163.80975151595447,161.3518165759181,162.3032684326172,45498800
2023-04-27,291.9205683836729,301.0242952553271,291.21041814980555,300.6593322753906,46462600,163.72055333888554,167.06057063521666,163.72055333888554,166.9119110107422,64902300
2023-04-28,299.8505878659069,304.7032562666543,299.16015312675654,303.0561218261719,36446700,166.99119168750394,168.3390943239458,166.3866173772678,168.17059326171875,55209200
2023-05-01,302.77007618260353,304.3777795431425,300.97496997022023,301.3793640136719,21294100,167.77416566961222,168.93375609993646,167.13985940542491,168.08140563964844,52472900
